number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9779840123770098,2026-09-21 04:34:12.021259,2026-09-21 04:39:24.305496,0 days 00:05:12.284237,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.9801306364352248,2026-09-21 04:34:12.067621,2026-09-21 04:44:56.939886,0 days 00:10:44.872265,64,0.0,False,2.2606411202821264e-05,3.2110863342755346e-06,,,COMPLETE
2,0.9816785341614663,2026-09-21 04:38:03.744431,2026-09-21 04:43:16.171392,0 days 00:05:12.426961,32,0.5,True,6.703394373544175e-06,0.00013848514640666325,,,COMPLETE
3,0.9577856698818596,2026-09-21 04:40:14.808473,2026-09-21 04:43:36.331159,0 days 00:03:21.522686,16,0.3,False,0.00021900200323107864,4.7405034921866e-07,,,COMPLETE
4,0.9784049028623573,2026-09-21 04:43:16.204403,2026-09-21 04:46:37.791055,0 days 00:03:21.586652,16,0.1,False,2.409167261587406e-05,1.6889621361529366e-06,,,COMPLETE
5,0.9627540770166347,2026-09-21 04:45:47.389818,2026-09-21 04:56:02.252282,0 days 00:10:14.862464,64,0.3,True,0.00018846884223824986,2.539704488895021e-06,,,COMPLETE
6,0.9781210185649715,2026-09-21 04:49:08.964283,2026-09-21 04:54:21.461952,0 days 00:05:12.497669,32,0.5,True,2.2103851078424097e-05,1.2013985857789705e-07,,,COMPLETE
7,0.9805533959029514,2026-09-21 04:53:20.928288,2026-09-21 04:58:53.685916,0 days 00:05:32.757628,32,0.3,False,2.2018357543801974e-05,0.0003930355734353504,,,COMPLETE
8,0.9768452642322737,2026-09-21 04:54:21.500166,2026-09-21 04:59:54.197102,0 days 00:05:32.696936,32,0.1,False,7.192546970611274e-05,4.4318549146958934e-07,,,COMPLETE
9,0.9757003821308333,2026-09-21 04:57:02.829957,2026-09-21 05:07:17.382516,0 days 00:10:14.552559,64,0.3,True,6.851348944255678e-05,1.8911646410446568e-07,,,COMPLETE
10,0.9812539057113602,2026-09-21 04:59:44.150005,2026-09-21 05:10:18.823742,0 days 00:10:34.673737,64,0.5,False,2.2340299202658647e-05,0.0010329646872170764,,,COMPLETE
11,0.9600482143122976,2026-09-21 05:04:16.172577,2026-09-21 05:07:27.493399,0 days 00:03:11.320822,32,0.2,True,0.00016781602249755343,0.0012765514390113619,,,PRUNED
12,0.981553268877347,2026-09-21 05:07:27.522415,2026-09-21 05:13:00.071871,0 days 00:05:32.549456,32,0.3,False,2.0635194947721945e-05,0.00014770176885508645,,"{""batch_size"": 32, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 2.0635194947721945e-05, ""weight_decay"": 0.00014770176885508645}",COMPLETE
13,0.9744326307372191,2026-09-21 05:09:18.388004,2026-09-21 05:11:19.335146,0 days 00:02:00.947142,32,0.5,True,7.077004308579387e-06,0.00016728633293755244,,"{""batch_size"": 32, ""dropout"": 0.5, ""freeze_bn"": true, ""lr"": 7.077004308579387e-06, ""weight_decay"": 0.00016728633293755244}",PRUNED
14,0.9747202529993636,2026-09-21 05:13:00.096737,2026-09-21 05:15:00.983179,0 days 00:02:00.886442,32,0.1,True,1.2685474479925784e-05,0.006145150450276167,,"{""batch_size"": 32, ""dropout"": 0.1, ""freeze_bn"": true, ""lr"": 1.2685474479925784e-05, ""weight_decay"": 0.006145150450276167}",PRUNED
15,0.9741586183612959,2026-09-21 05:15:00.999055,2026-09-21 05:16:11.551639,0 days 00:01:10.552584,16,0.3,True,7.547217651644755e-06,1.102237365805927e-05,,"{""batch_size"": 16, ""dropout"": 0.3, ""freeze_bn"": true, ""lr"": 7.547217651644755e-06, ""weight_decay"": 1.102237365805927e-05}",PRUNED
16,0.9829641604156268,2026-09-21 05:16:51.875978,2026-09-21 05:22:24.434846,0 days 00:05:32.558868,32,0.2,False,1.5227325440486634e-05,1.89109240426495e-05,,"{""batch_size"": 32, ""dropout"": 0.2, ""freeze_bn"": false, ""lr"": 1.5227325440486634e-05, ""weight_decay"": 1.89109240426495e-05}",COMPLETE
17,0.9713114844946723,2026-09-21 05:20:23.395207,2026-09-21 05:24:05.217090,0 days 00:03:41.821883,64,0.0,True,7.282009812312447e-06,4.7651340869816404e-05,,"{""batch_size"": 64, ""dropout"": 0.0, ""freeze_bn"": true, ""lr"": 7.282009812312447e-06, ""weight_decay"": 4.7651340869816404e-05}",PRUNED
18,0.9668750962335767,2026-09-21 05:21:13.867861,2026-09-21 05:23:14.833514,0 days 00:02:00.965653,32,0.3,False,0.0001448596242677741,6.827680386968381e-05,,"{""batch_size"": 32, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 0.0001448596242677741, ""weight_decay"": 6.827680386968381e-05}",PRUNED
19,0.976156495327707,2026-09-21 05:22:54.700903,2026-09-21 05:24:55.671023,0 days 00:02:00.970120,32,0.5,False,8.233278537463126e-06,1.850388894731163e-05,,"{""batch_size"": 32, ""dropout"": 0.5, ""freeze_bn"": false, ""lr"": 8.233278537463126e-06, ""weight_decay"": 1.850388894731163e-05}",PRUNED
20,0.9732858796533993,2026-09-21 05:24:25.454711,2026-09-21 05:25:36.044087,0 days 00:01:10.589376,16,0.5,True,3.097586874928576e-05,8.867751761760838e-05,,"{""batch_size"": 16, ""dropout"": 0.5, ""freeze_bn"": true, ""lr"": 3.097586874928576e-05, ""weight_decay"": 8.867751761760838e-05}",PRUNED
21,0.9744344997195983,2026-09-21 05:25:36.084987,2026-09-21 05:27:36.959369,0 days 00:02:00.874382,32,0.2,True,1.3797618893726524e-05,1.9827642451459797e-05,,"{""batch_size"": 32, ""dropout"": 0.2, ""freeze_bn"": true, ""lr"": 1.3797618893726524e-05, ""weight_decay"": 1.9827642451459797e-05}",PRUNED
22,0.9812675155975817,2026-09-21 05:27:36.980539,2026-09-21 05:33:09.422235,0 days 00:05:32.441696,32,0.2,False,1.3813233519850685e-05,1.186675974720915e-06,,"{""batch_size"": 32, ""dropout"": 0.2, ""freeze_bn"": false, ""lr"": 1.3813233519850685e-05, ""weight_decay"": 1.186675974720915e-06}",COMPLETE
23,0.9724582355784919,2026-09-21 05:30:28.264393,2026-09-21 05:32:29.160530,0 days 00:02:00.896137,32,0.2,False,6.648619512724661e-06,0.0005007839756643297,,"{""batch_size"": 32, ""dropout"": 0.2, ""freeze_bn"": false, ""lr"": 6.648619512724661e-06, ""weight_decay"": 0.0005007839756643297}",PRUNED
