number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9765000123256714,2026-09-21 04:34:12.056356,2026-09-21 04:40:14.761654,0 days 00:06:02.705298,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.9640567672462318,2026-09-21 04:34:12.101673,2026-09-21 04:38:03.738771,0 days 00:03:51.637098,16,0.2,False,0.0001057701662740133,2.518095605732827e-05,,,COMPLETE
2,0.9784960203097035,2026-09-21 04:39:34.471852,2026-09-21 04:50:39.554010,0 days 00:11:05.082158,64,0.2,False,4.862221068987795e-05,0.00012289414134034085,,,COMPLETE
3,0.974238032617606,2026-09-21 04:42:35.893193,2026-09-21 04:47:58.391800,0 days 00:05:22.498607,32,0.2,True,4.453057506749732e-05,0.0002700117574836737,,,COMPLETE
4,0.9807355176592253,2026-09-21 04:44:56.985065,2026-09-21 04:50:29.472156,0 days 00:05:32.487091,32,0.1,False,4.109118174394949e-05,8.93019302191033e-05,,,COMPLETE
5,0.9609375276988706,2026-09-21 04:47:58.418099,2026-09-21 04:53:30.996164,0 days 00:05:32.578065,32,0.2,False,0.00017038414624924455,8.548496649114438e-06,,,COMPLETE
6,0.9752585189681656,2026-09-21 04:51:09.872195,2026-09-21 04:56:22.407507,0 days 00:05:12.535312,32,0.0,True,5.803210827838465e-06,2.0103584026944926e-07,,,COMPLETE
7,0.9765422762399468,2026-09-21 04:53:51.255199,2026-09-21 04:57:02.799536,0 days 00:03:11.544337,16,0.0,False,5.7314255977316106e-05,1.0150582073504718e-05,,,COMPLETE
8,0.981447768371476,2026-09-21 04:56:42.660685,2026-09-21 05:02:15.242981,0 days 00:05:32.582296,32,0.1,False,4.122634219005447e-05,2.8718214856921077e-06,,,COMPLETE
9,0.9654812686707333,2026-09-21 04:59:03.835305,2026-09-21 05:04:36.301095,0 days 00:05:32.465790,32,0.3,False,0.00013711458839644428,5.144328484744717e-06,,,COMPLETE
10,0.9400853174223304,2026-09-21 05:03:15.749797,2026-09-21 05:07:07.332418,0 days 00:03:51.582621,64,0.5,False,0.00021901380024983845,0.0024062999788273527,,,PRUNED
11,0.9759102883819222,2026-09-21 05:07:17.443678,2026-09-21 05:09:18.363088,0 days 00:02:00.919410,32,0.1,False,2.7499301251236852e-05,4.4158160393236734e-07,,"{""batch_size"": 32, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 2.7499301251236852e-05, ""weight_decay"": 4.4158160393236734e-07}",PRUNED
12,0.9794715419431758,2026-09-21 05:08:58.210144,2026-09-21 05:14:30.742778,0 days 00:05:32.532634,32,0.1,False,1.7035544324593156e-05,0.00018949871076751233,,"{""batch_size"": 32, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 1.7035544324593156e-05, ""weight_decay"": 0.00018949871076751233}",COMPLETE
13,0.9836492667810472,2026-09-21 05:11:19.358122,2026-09-21 05:22:14.336501,0 days 00:10:54.978379,64,0.3,False,1.2070089368210402e-05,9.450522225267335e-06,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 1.2070089368210402e-05, ""weight_decay"": 9.450522225267335e-06}",COMPLETE
14,0.9742155502590623,2026-09-21 05:14:30.768997,2026-09-21 05:16:31.710897,0 days 00:02:00.941900,32,0.0,False,9.92391548514324e-05,0.0035558108295690705,,"{""batch_size"": 32, ""dropout"": 0.0, ""freeze_bn"": false, ""lr"": 9.92391548514324e-05, ""weight_decay"": 0.0035558108295690705}",PRUNED
15,0.9741577697633801,2026-09-21 05:16:31.722538,2026-09-21 05:20:33.444462,0 days 00:04:01.721924,64,0.1,False,8.580245062225128e-05,7.236652287010457e-07,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 8.580245062225128e-05, ""weight_decay"": 7.236652287010457e-07}",PRUNED
16,0.9739522793378407,2026-09-21 05:19:33.005135,2026-09-21 05:20:53.663359,0 days 00:01:20.658224,16,0.1,False,5.26409158780049e-05,0.001461860412866404,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 5.26409158780049e-05, ""weight_decay"": 0.001461860412866404}",PRUNED
17,0.9607518188290628,2026-09-21 05:20:53.681959,2026-09-21 05:22:54.682739,0 days 00:02:01.000780,32,0.1,False,0.0001621579979347341,4.89695211354901e-05,,"{""batch_size"": 32, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 0.0001621579979347341, ""weight_decay"": 4.89695211354901e-05}",PRUNED
18,0.982122020143776,2026-09-21 05:22:24.464991,2026-09-21 05:33:29.575976,0 days 00:11:05.110985,64,0.3,False,6.88528729026444e-06,9.992414030899418e-07,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 6.88528729026444e-06, ""weight_decay"": 9.992414030899418e-07}",COMPLETE
19,0.9762185240202311,2026-09-21 05:24:25.429004,2026-09-21 05:25:36.035720,0 days 00:01:10.606716,16,0.3,False,6.6718632611759966e-06,9.215673073319076e-05,,"{""batch_size"": 16, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 6.6718632611759966e-06, ""weight_decay"": 9.215673073319076e-05}",PRUNED
20,0.9831580230757426,2026-09-21 05:25:36.060186,2026-09-21 05:36:40.895312,0 days 00:11:04.835126,64,0.5,False,1.7889650501637647e-05,2.9716524638414954e-05,,"{""batch_size"": 64, ""dropout"": 0.5, ""freeze_bn"": false, ""lr"": 1.7889650501637647e-05, ""weight_decay"": 2.9716524638414954e-05}",COMPLETE
21,0.9760735148931862,2026-09-21 05:27:06.754488,2026-09-21 05:30:58.458404,0 days 00:03:51.703916,64,0.3,True,3.379178556597225e-05,0.0012035174620475412,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": true, ""lr"": 3.379178556597225e-05, ""weight_decay"": 0.0012035174620475412}",PRUNED
22,0.975300782882441,2026-09-21 05:30:08.124118,2026-09-21 05:34:09.861782,0 days 00:04:01.737664,64,0.0,False,5.5664368220965615e-06,0.00048258893486111094,,"{""batch_size"": 64, ""dropout"": 0.0, ""freeze_bn"": false, ""lr"": 5.5664368220965615e-06, ""weight_decay"": 0.00048258893486111094}",PRUNED
23,0.9753232652409848,2026-09-21 05:32:29.176613,2026-09-21 05:36:20.773055,0 days 00:03:51.596442,64,0.1,True,5.3328984599629365e-06,8.672731016989296e-06,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": true, ""lr"": 5.3328984599629365e-06, ""weight_decay"": 8.672731016989296e-06}",PRUNED
24,0.9751980376696715,2026-09-21 05:36:10.712373,2026-09-21 05:40:12.249884,0 days 00:04:01.537511,64,0.3,False,6.53048541350179e-06,2.668718991030002e-07,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 6.53048541350179e-06, ""weight_decay"": 2.668718991030002e-07}",PRUNED
25,0.9824077734235415,2026-09-21 05:40:12.275126,2026-09-21 05:51:07.000739,0 days 00:10:54.725613,64,0.5,False,1.1683548811406134e-05,1.7992136916069712e-06,,"{""batch_size"": 64, ""dropout"": 0.5, ""freeze_bn"": false, ""lr"": 1.1683548811406134e-05, ""weight_decay"": 1.7992136916069712e-06}",COMPLETE
