number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9687479509701884,2026-09-21 04:34:12.034298,2026-09-21 04:39:34.412231,0 days 00:05:22.377933,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.975944076837837,2026-09-21 04:34:12.079383,2026-09-21 04:39:34.440214,0 days 00:05:22.360831,32,0.5,True,1.254453522035655e-05,8.52700341860533e-05,,,COMPLETE
2,0.9672595350933006,2026-09-21 04:39:24.358919,2026-09-21 04:44:46.848776,0 days 00:05:22.489857,32,0.2,True,5.453069945413568e-05,0.00012689855466669058,,,COMPLETE
3,0.9799730922967109,2026-09-21 04:40:14.821293,2026-09-21 04:51:09.819813,0 days 00:10:54.998520,64,0.3,False,1.3506467764365284e-05,3.7779666140698306e-05,,,COMPLETE
4,0.9694728121195201,2026-09-21 04:43:36.362214,2026-09-21 04:49:08.932166,0 days 00:05:32.569952,32,0.5,False,7.755675586564536e-05,7.51371377874668e-05,,,COMPLETE
5,0.9747161556537464,2026-09-21 04:46:37.808167,2026-09-21 04:57:33.021046,0 days 00:10:55.212879,64,0.2,False,2.3117531551381096e-05,0.0027398098627543395,,,COMPLETE
6,0.9583648954252273,2026-09-21 04:50:29.503181,2026-09-21 04:53:51.230554,0 days 00:03:21.727373,16,0.5,False,0.00012846138752896155,9.501888493713333e-06,,,COMPLETE
7,0.9749920370120488,2026-09-21 04:53:31.022232,2026-09-21 05:04:16.117690,0 days 00:10:45.095458,64,0.5,True,5.444631915515294e-06,5.197840148932093e-06,,,COMPLETE
8,0.9658242545012913,2026-09-21 04:56:02.291304,2026-09-21 04:59:03.809077,0 days 00:03:01.517773,16,0.2,True,6.0501209595240526e-05,3.9062447136060427e-07,,,COMPLETE
9,0.9808584037288822,2026-09-21 04:57:33.067544,2026-09-21 05:08:17.859547,0 days 00:10:44.792003,64,0.3,True,3.3429589027268084e-05,0.0001697367661345859,,,COMPLETE
10,0.9772639263543832,2026-09-21 04:59:54.223634,2026-09-21 05:03:15.735052,0 days 00:03:21.511418,16,0.2,False,1.3575230152718355e-05,0.00506857938808522,,,COMPLETE
11,0.979904570346327,2026-09-21 05:04:36.319236,2026-09-21 05:15:41.276314,0 days 00:11:04.957078,64,0.3,False,1.4013033152880253e-05,3.891777799151284e-07,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 1.4013033152880253e-05, ""weight_decay"": 3.891777799151284e-07}",COMPLETE
12,0.9789624401548078,2026-09-21 05:07:37.596950,2026-09-21 05:18:32.526754,0 days 00:10:54.929804,64,0.1,False,7.700698734214818e-06,2.9516376935508424e-05,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 7.700698734214818e-06, ""weight_decay"": 2.9516376935508424e-05}",COMPLETE
13,0.9766562898372815,2026-09-21 05:09:28.493659,2026-09-21 05:20:23.354913,0 days 00:10:54.861254,64,0.3,False,1.2038336837380329e-05,0.00018115575654268468,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 1.2038336837380329e-05, ""weight_decay"": 0.00018115575654268468}",COMPLETE
14,0.9711929387452495,2026-09-21 05:13:00.112609,2026-09-21 05:16:51.844575,0 days 00:03:51.731966,64,0.3,True,4.3922276739376136e-05,5.8257373090639195e-05,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": true, ""lr"": 4.3922276739376136e-05, ""weight_decay"": 5.8257373090639195e-05}",PRUNED
15,0.9711487681357885,2026-09-21 05:15:41.321178,2026-09-21 05:19:32.985469,0 days 00:03:51.664291,64,0.3,True,4.02519339909833e-05,0.004260941723945604,,"{""batch_size"": 64, ""dropout"": 0.3, ""freeze_bn"": true, ""lr"": 4.02519339909833e-05, ""weight_decay"": 0.004260941723945604}",PRUNED
