number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.97060297174718,2026-09-21 01:46:53.963592,2026-09-21 01:52:15.515340,0 days 00:05:21.551748,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.976144754423865,2026-09-21 01:46:53.996727,2026-09-21 01:57:37.264468,0 days 00:10:43.267741,64,0.0,False,2.2606411202821264e-05,3.2110863342755346e-06,,,COMPLETE
2,0.9744363687019776,2026-09-21 01:52:15.542509,2026-09-21 02:02:38.942186,0 days 00:10:23.399677,32,0.5,True,6.703394373544175e-06,0.00013848514640666325,,,COMPLETE
3,0.9580732921440043,2026-09-21 01:57:27.225458,2026-09-21 02:00:48.369945,0 days 00:03:21.144487,16,0.3,False,0.00021900200323107864,4.7405034921866e-07,,,COMPLETE
4,0.9771446273982601,2026-09-21 02:00:48.376249,2026-09-21 02:05:49.972858,0 days 00:05:01.596609,16,0.1,False,2.409167261587406e-05,1.6889621361529366e-06,,,COMPLETE
5,0.9617814238146822,2026-09-21 02:06:20.157102,2026-09-21 02:16:33.318263,0 days 00:10:13.161161,64,0.3,True,0.00018846884223824986,2.539704488895021e-06,,,COMPLETE
6,0.9745851157937814,2026-09-21 02:11:31.713312,2026-09-21 02:19:34.610526,0 days 00:08:02.897214,32,0.5,True,2.2103851078424097e-05,1.2013985857789705e-07,,,COMPLETE
7,0.9765731208387297,2026-09-21 02:19:34.636389,2026-09-21 02:25:07.025018,0 days 00:05:32.388629,32,0.3,False,2.2018357543801974e-05,0.0003930355734353504,,,COMPLETE
8,0.9704659655592186,2026-09-21 02:19:54.798547,2026-09-21 02:25:27.178445,0 days 00:05:32.379898,32,0.1,False,7.192546970611274e-05,4.4318549146958934e-07,,,COMPLETE
9,0.971293609634126,2026-09-21 02:23:06.177146,2026-09-21 02:33:20.147910,0 days 00:10:13.970764,64,0.3,True,6.851348944255678e-05,1.8911646410446568e-07,,,COMPLETE
10,0.9741506154222123,2026-09-21 02:25:27.207664,2026-09-21 02:36:11.358352,0 days 00:10:44.150688,64,0.5,False,2.2340299202658647e-05,0.0010329646872170764,,,COMPLETE
11,0.9576233129038346,2026-09-21 02:30:19.032394,2026-09-21 02:33:30.259329,0 days 00:03:11.226935,32,0.2,True,0.00016781602249755343,0.0012765514390113619,,,PRUNED
