number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9572066873928119,2026-09-19 22:58:33.352470,2026-09-20 22:31:30.641595,0 days 23:32:57.289125,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.9634978124756529,2026-09-19 22:58:33.373443,2026-09-20 22:36:11.867275,0 days 23:37:38.493832,64,0.0,False,2.2606411202821264e-05,3.2110863342755346e-06,,,COMPLETE
2,0.9569425469383516,2026-09-20 22:31:30.654031,2026-09-20 22:36:42.019395,0 days 00:05:11.365364,32,0.5,True,6.703394373544175e-06,0.00013848514640666325,,,COMPLETE
3,0.9590440763635776,2026-09-20 22:36:42.024235,2026-09-20 22:42:13.606678,0 days 00:05:31.582443,16,0.3,False,0.00021900200323107864,4.7405034921866e-07,,,COMPLETE
4,0.970880722087862,2026-09-20 22:39:32.842861,2026-09-20 22:44:14.203585,0 days 00:04:41.360724,16,0.1,False,2.409167261587406e-05,1.6889621361529366e-06,,,COMPLETE
5,0.9613431854783547,2026-09-20 22:44:14.215088,2026-09-20 22:56:27.312846,0 days 00:12:13.097758,64,0.3,True,0.00018846884223824986,2.539704488895021e-06,,,COMPLETE
6,0.9605136724210679,2026-09-20 22:49:45.641145,2026-09-20 22:57:17.543644,0 days 00:07:31.902499,32,0.5,True,2.2103851078424097e-05,1.2013985857789705e-07,,,COMPLETE
7,0.9640613160961,2026-09-20 22:57:17.561470,2026-09-20 23:02:28.977123,0 days 00:05:11.415653,32,0.3,False,2.2018357543801974e-05,0.0003930355734353504,,,COMPLETE
8,0.9626250737677565,2026-09-20 23:02:28.986205,2026-09-20 23:08:00.494657,0 days 00:05:31.508452,32,0.1,False,7.192546970611274e-05,4.4318549146958934e-07,,,COMPLETE
9,0.9639125690042963,2026-09-20 23:07:40.413497,2026-09-20 23:17:22.837809,0 days 00:09:42.424312,64,0.3,True,6.851348944255678e-05,1.8911646410446568e-07,,,COMPLETE
10,0.9633509343662287,2026-09-20 23:15:22.320823,2026-09-20 23:27:05.566453,0 days 00:11:43.245630,64,0.5,False,2.2340299202658647e-05,0.0010329646872170764,,,COMPLETE
11,0.9506866445670367,2026-09-20 23:20:23.662108,2026-09-20 23:22:14.269585,0 days 00:01:50.607477,16,0.1,False,1.0995986730498733e-05,4.5594068836203363e-07,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 1.0995986730498733e-05, ""weight_decay"": 4.5594068836203363e-07}",PRUNED
12,0.9606328037484833,2026-09-20 23:23:44.688585,2026-09-20 23:27:25.665482,0 days 00:03:40.976897,32,0.3,False,4.9576021483202174e-05,0.00027764224684259924,,"{""batch_size"": 32, ""dropout"": 0.3, ""freeze_bn"": false, ""lr"": 4.9576021483202174e-05, ""weight_decay"": 0.00027764224684259924}",PRUNED
13,0.9673095966051456,2026-09-20 23:28:15.907684,2026-09-20 23:31:06.726442,0 days 00:02:50.818758,16,0.1,False,4.629711890140193e-05,2.3945491952497394e-05,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 4.629711890140193e-05, ""weight_decay"": 2.3945491952497394e-05}",COMPLETE
14,0.9459978567553228,2026-09-20 23:32:27.091449,2026-09-20 23:33:37.398814,0 days 00:01:10.307365,16,0.1,False,0.00017577202307576868,0.0001661929384068919,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 0.00017577202307576868, ""weight_decay"": 0.0001661929384068919}",PRUNED
15,0.9502620161169304,2026-09-20 23:36:38.218981,2026-09-20 23:37:48.570438,0 days 00:01:10.351457,16,0.1,False,1.055262769036973e-05,0.0001266519337100974,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 1.055262769036973e-05, ""weight_decay"": 0.0001266519337100974}",PRUNED
16,0.9700258582405118,2026-09-20 23:38:48.877192,2026-09-20 23:48:31.720856,0 days 00:09:42.843664,64,0.1,False,7.12865445037645e-05,1.3591177481194847e-05,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 7.12865445037645e-05, ""weight_decay"": 1.3591177481194847e-05}",COMPLETE
17,0.961478322683937,2026-09-20 23:41:19.617110,2026-09-20 23:44:10.471492,0 days 00:02:50.854382,16,0.2,False,6.370211171052433e-05,5.713188987742169e-06,,"{""batch_size"": 16, ""dropout"": 0.2, ""freeze_bn"": false, ""lr"": 6.370211171052433e-05, ""weight_decay"": 5.713188987742169e-06}",PRUNED
18,0.9666306996220418,2026-09-20 23:44:10.481173,2026-09-20 23:48:51.858907,0 days 00:04:41.377734,16,0.5,False,2.6299556999303143e-05,1.727127488893929e-06,,"{""batch_size"": 16, ""dropout"": 0.5, ""freeze_bn"": false, ""lr"": 2.6299556999303143e-05, ""weight_decay"": 1.727127488893929e-06}",COMPLETE
19,0.9613629293212801,2026-09-20 23:47:01.273859,2026-09-20 23:49:11.987316,0 days 00:02:10.713457,16,0.1,True,3.857797180118797e-05,7.644161737386612e-05,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": true, ""lr"": 3.857797180118797e-05, ""weight_decay"": 7.644161737386612e-05}",PRUNED
20,0.9631768364843616,2026-09-20 23:48:51.878105,2026-09-20 23:57:54.357986,0 days 00:09:02.479881,64,0.1,False,9.691077000741696e-05,2.0936540672432624e-05,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 9.691077000741696e-05, ""weight_decay"": 2.0936540672432624e-05}",PRUNED
21,0.9558056677759946,2026-09-20 23:52:12.863770,2026-09-20 23:59:24.769020,0 days 00:07:11.905250,64,0.1,False,1.3426030437503688e-05,5.9422066982239115e-06,,"{""batch_size"": 64, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 1.3426030437503688e-05, ""weight_decay"": 5.9422066982239115e-06}",PRUNED
22,0.9619128230555059,2026-09-20 23:58:24.500360,2026-09-21 00:00:35.127153,0 days 00:02:10.626793,16,0.0,False,3.053406599675932e-05,4.334723511147091e-05,,"{""batch_size"": 16, ""dropout"": 0.0, ""freeze_bn"": false, ""lr"": 3.053406599675932e-05, ""weight_decay"": 4.334723511147091e-05}",PRUNED
23,0.9690297232308751,2026-09-21 00:00:15.040957,2026-09-21 00:03:05.829359,0 days 00:02:50.788402,16,0.1,False,3.538725332487243e-05,4.56361221848153e-06,,"{""batch_size"": 16, ""dropout"": 0.1, ""freeze_bn"": false, ""lr"": 3.538725332487243e-05, ""weight_decay"": 4.56361221848153e-06}",COMPLETE
