number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9910025774063508,2026-09-19 19:55:33.541277,2026-09-19 20:02:45.430924,0 days 00:07:11.889647,32,0.0,1e-05,0.0001,"{'lr': 1e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0}",,COMPLETE
1,0.9923909488732812,2026-09-19 19:55:33.550787,2026-09-19 20:02:45.441494,0 days 00:07:11.890707,32,0.5,2.814010726733668e-06,8.52700341860533e-05,,,COMPLETE
2,0.9585352553423357,2026-09-19 20:02:45.445566,2026-09-19 20:09:47.232071,0 days 00:07:01.786505,32,0.0,6.999683640787171e-05,1.4310225816694574e-06,,,COMPLETE
3,0.9927813163481952,2026-09-19 20:02:45.455552,2026-09-19 20:07:26.618283,0 days 00:04:41.162731,16,0.3,1.2809907759972208e-06,8.10102891625165e-07,,,COMPLETE
4,0.9928155773233872,2026-09-19 20:08:57.015677,2026-09-19 20:13:38.253047,0 days 00:04:41.237370,16,0.5,1.7964992571407394e-06,3.843981891774095e-05,,,COMPLETE
5,0.9855166685301628,2026-09-19 20:13:28.215213,2026-09-19 20:27:01.990620,0 days 00:13:33.775407,64,0.5,3.259429070333994e-05,4.168640313505273e-06,,,COMPLETE
6,0.9927813163481952,2026-09-19 20:16:08.944462,2026-09-19 20:29:42.694634,0 days 00:13:33.750172,64,0.5,5.850693529400404e-06,9.504589011647015e-05,,,COMPLETE
7,0.9646621167519663,2026-09-19 20:18:59.779027,2026-09-19 20:23:41.078185,0 days 00:04:41.299158,16,0.5,3.852075668575738e-05,9.501888493713333e-06,,,COMPLETE
8,0.9928155773233872,2026-09-19 20:23:41.084069,2026-09-19 20:37:14.823120,0 days 00:13:33.739051,64,0.1,2.89793319873976e-06,0.0003015536696180345,,,COMPLETE
9,0.992459470823665,2026-09-19 20:27:02.007348,2026-09-19 20:31:43.272752,0 days 00:04:41.265404,16,0.1,3.376228005045321e-06,0.003067924403104405,,,COMPLETE
10,0.9919320594479831,2026-09-19 20:30:22.905053,2026-09-19 20:39:15.402114,0 days 00:08:52.497061,64,0.2,2.6752976276841057e-06,0.007477409446707595,,,PRUNED
11,0.9856311546467745,2026-09-19 20:35:24.319603,2026-09-19 20:40:15.693558,0 days 00:04:51.373955,64,0.5,2.8791326350204316e-05,0.00011280766584492167,,,PRUNED
12,0.9890281822476238,2026-09-19 20:37:14.851221,2026-09-19 20:38:55.323060,0 days 00:01:40.471839,16,0.5,5.949803630569269e-06,1.5390862596525311e-06,,"{""batch_size"": 16, ""dropout"": 0.5, ""lr"": 5.949803630569269e-06, ""weight_decay"": 1.5390862596525311e-06}",PRUNED
13,0.9936305732484078,2026-09-19 20:39:45.571989,2026-09-19 20:53:19.039338,0 days 00:13:33.467349,64,0.1,9.631524820993115e-06,2.1619127165383343e-06,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 9.631524820993115e-06, ""weight_decay"": 2.1619127165383343e-06}",COMPLETE
14,0.9923566878980892,2026-09-19 20:44:16.784411,2026-09-19 20:54:29.374740,0 days 00:10:12.590329,64,0.3,1.251477524654703e-06,0.0002785918980750734,,"{""batch_size"": 64, ""dropout"": 0.3, ""lr"": 1.251477524654703e-06, ""weight_decay"": 0.0002785918980750734}",PRUNED
15,0.989418549722538,2026-09-19 20:52:38.881956,2026-09-19 20:54:29.378702,0 days 00:01:50.496746,16,0.5,1.2357296437438484e-06,0.002023870960209289,,"{""batch_size"": 16, ""dropout"": 0.5, ""lr"": 1.2357296437438484e-06, ""weight_decay"": 0.002023870960209289}",PRUNED
16,0.9877542968973053,2026-09-19 20:54:29.385011,2026-09-19 20:59:20.674077,0 days 00:04:51.289066,64,0.1,1.4746398602847612e-05,2.329890623741862e-06,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 1.4746398602847612e-05, ""weight_decay"": 2.329890623741862e-06}",PRUNED
17,0.9932059447983015,2026-09-19 20:57:10.075173,2026-09-19 21:10:43.977711,0 days 00:13:33.902538,64,0.0,3.716708277559176e-06,3.1712712354368125e-07,,"{""batch_size"": 64, ""dropout"": 0.0, ""lr"": 3.716708277559176e-06, ""weight_decay"": 3.1712712354368125e-07}",COMPLETE
18,0.9928155773233872,2026-09-19 20:59:20.681649,2026-09-19 21:04:02.070135,0 days 00:04:41.388486,16,0.2,2.1330940607041995e-06,2.9970523064141285e-05,,"{""batch_size"": 16, ""dropout"": 0.2, ""lr"": 2.1330940607041995e-06, ""weight_decay"": 2.9970523064141285e-05}",COMPLETE
19,0.9898431781726442,2026-09-19 21:03:31.941345,2026-09-19 21:05:22.434494,0 days 00:01:50.493149,16,0.5,1.586833263568324e-06,2.3747471034888857e-05,,"{""batch_size"": 16, ""dropout"": 0.5, ""lr"": 1.586833263568324e-06, ""weight_decay"": 2.3747471034888857e-05}",PRUNED
20,0.9944798301486198,2026-09-19 21:05:42.541474,2026-09-19 21:12:54.584440,0 days 00:07:12.042966,32,0.1,3.990577215967339e-06,2.815096640450163e-06,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 3.990577215967339e-06, ""weight_decay"": 2.815096640450163e-06}",COMPLETE
21,0.9944798301486198,2026-09-19 21:10:23.895730,2026-09-19 21:23:57.563100,0 days 00:13:33.667370,64,0.1,1.8679168073360258e-06,1.9251163066626326e-07,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 1.8679168073360258e-06, ""weight_decay"": 1.9251163066626326e-07}",COMPLETE
22,0.9923566878980892,2026-09-19 21:12:54.602602,2026-09-19 21:21:46.933099,0 days 00:08:52.330497,64,0.0,5.38379358608817e-06,6.247117209767905e-07,,"{""batch_size"": 64, ""dropout"": 0.0, ""lr"": 5.38379358608817e-06, ""weight_decay"": 6.247117209767905e-07}",PRUNED
23,0.9936648342235997,2026-09-19 21:16:55.687303,2026-09-19 21:24:07.625807,0 days 00:07:11.938504,32,0.1,4.088150390899922e-06,5.564064434688844e-06,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 4.088150390899922e-06, ""weight_decay"": 5.564064434688844e-06}",COMPLETE
24,0.9869393009722849,2026-09-19 21:22:27.151872,2026-09-19 21:27:18.590693,0 days 00:04:51.438821,64,0.3,1.823543827702107e-05,1.153738464714392e-07,,"{""batch_size"": 64, ""dropout"": 0.3, ""lr"": 1.823543827702107e-05, ""weight_decay"": 1.153738464714392e-07}",PRUNED
25,0.9923566878980892,2026-09-19 21:24:57.871125,2026-09-19 21:29:19.268494,0 days 00:04:21.397369,32,0.1,2.9727509202063487e-06,2.741068403855069e-06,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 2.9727509202063487e-06, ""weight_decay"": 2.741068403855069e-06}",PRUNED
26,0.9932059447983015,2026-09-19 21:27:38.716263,2026-09-19 21:41:13.045224,0 days 00:13:34.328961,64,0.1,1.5991223262555714e-06,1.4604928616063224e-06,,"{""batch_size"": 64, ""dropout"": 0.1, ""lr"": 1.5991223262555714e-06, ""weight_decay"": 1.4604928616063224e-06}",COMPLETE
27,0.9915759529482607,2026-09-19 21:29:19.279493,2026-09-19 21:32:20.227459,0 days 00:03:00.947966,32,0.1,7.1444714485708025e-06,1.1168687147153053e-07,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 7.1444714485708025e-06, ""weight_decay"": 1.1168687147153053e-07}",PRUNED
28,0.9915416919730689,2026-09-19 21:31:09.874391,2026-09-19 21:34:10.798943,0 days 00:03:00.924552,32,0.3,7.688086212048273e-06,6.588646422860679e-06,,"{""batch_size"": 32, ""dropout"": 0.3, ""lr"": 7.688086212048273e-06, ""weight_decay"": 6.588646422860679e-06}",PRUNED
29,0.989384288747346,2026-09-19 21:35:21.167316,2026-09-19 21:38:02.056730,0 days 00:02:40.889414,32,0.1,8.946131444171901e-06,6.577641380776758e-05,,"{""batch_size"": 32, ""dropout"": 0.1, ""lr"": 8.946131444171901e-06, ""weight_decay"": 6.577641380776758e-05}",PRUNED
30,0.9911170635229626,2026-09-19 21:37:41.943639,2026-09-19 21:40:22.785274,0 days 00:02:40.841635,32,0.0,1.0056640192415388e-06,5.555860808217819e-06,,"{""batch_size"": 32, ""dropout"": 0.0, ""lr"": 1.0056640192415388e-06, ""weight_decay"": 5.555860808217819e-06}",PRUNED
31,0.9898774391478361,2026-09-19 21:39:32.564445,2026-09-19 21:42:13.395489,0 days 00:02:40.831044,32,0.2,2.217151447985541e-06,2.3973340261875793e-07,,"{""batch_size"": 32, ""dropout"": 0.2, ""lr"": 2.217151447985541e-06, ""weight_decay"": 2.3973340261875793e-07}",PRUNED
32,0.9898431781726442,2026-09-19 21:42:03.327085,2026-09-19 21:43:43.863358,0 days 00:01:40.536273,16,0.1,1.779675188311742e-06,2.451897954919709e-07,,"{""batch_size"": 16, ""dropout"": 0.1, ""lr"": 1.779675188311742e-06, ""weight_decay"": 2.451897954919709e-07}",PRUNED
