number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_freeze_bn,params_lr,params_weight_decay,system_attrs_fixed_params,system_attrs_tpe:relative_params:0,state
0,0.9473402022994785,2026-09-19 22:58:33.363425,2026-09-20 22:36:42.004237,0 days 23:38:08.640812,32,0.0,True,5e-05,0.0001,"{'lr': 5e-05, 'weight_decay': 0.0001, 'batch_size': 32, 'dropout': 0.0, 'freeze_bn': True}",,COMPLETE
1,0.9298212350873026,2026-09-19 22:58:33.383999,2026-09-20 22:36:42.014515,0 days 23:38:08.630516,32,0.5,True,0.00023329728738269478,0.00047966137696392117,,,COMPLETE
2,0.9405325749243648,2026-09-20 22:31:40.713665,2026-09-20 22:39:32.837925,0 days 00:07:52.124260,16,0.3,True,5.741440121499892e-06,5.409450768498565e-06,,,COMPLETE
3,0.9551134793866017,2026-09-20 22:36:42.037578,2026-09-20 22:47:15.016636,0 days 00:10:32.979058,32,0.5,False,6.485452256442802e-05,0.00010029397327949672,,,COMPLETE
4,0.9499700671239145,2026-09-20 22:41:43.463592,2026-09-20 22:47:04.977412,0 days 00:05:21.513820,16,0.5,True,9.700522091480387e-06,0.00021784603450301495,,,COMPLETE
5,0.9550313098371902,2026-09-20 22:47:04.981626,2026-09-20 22:52:16.267046,0 days 00:05:11.285420,32,0.3,False,4.22601991673557e-05,0.0001208618741574641,,,COMPLETE
6,0.945963534023584,2026-09-20 22:56:27.322339,2026-09-20 23:00:08.341273,0 days 00:03:41.018934,16,0.1,True,1.3825608998952915e-05,2.2279236832913488e-05,,,COMPLETE
7,0.9430596945360311,2026-09-20 22:59:58.300211,2026-09-20 23:02:59.128374,0 days 00:03:00.828163,16,0.3,True,7.082443763007803e-06,2.5267821194066363e-07,,,COMPLETE
8,0.9477990540119704,2026-09-20 23:04:49.616186,2026-09-20 23:10:21.119693,0 days 00:05:31.503507,16,0.2,False,6.2244711892155935e-06,3.575460580303503e-07,,,COMPLETE
9,0.9560311828115856,2026-09-20 23:09:20.855311,2026-09-20 23:19:13.298091,0 days 00:09:52.442780,64,0.2,False,1.1868230400790478e-05,0.00020638555478131915,,,COMPLETE
10,0.9481687703979139,2026-09-20 23:18:13.045823,2026-09-20 23:23:44.680211,0 days 00:05:31.634388,32,0.3,True,1.2354255144241076e-05,1.3154469866742517e-05,,,PRUNED
